stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BET1PFLU,,"Port Fluvial",,50.536445,2.664775,,,0,
BET1PHIL,,"Kennedy",,50.538196,2.650213,,,0,
BET1POST,,"Luxembourg",,50.518784,2.629985,,,0,
BET1PPAS,,"Place Pasteur",,50.537786,2.638424,,,0,
BET1PRIE,,"Prieuré",,50.514156,2.626819,,,0,
BET1RDAN,,"Clinique Anne d'Artois",,50.538739,2.630287,,,0,
BET1RDRO,,"Rue des Roses",,50.510460,2.648942,,,0,
BET1RECE,,"Résidence des Cèdres",,50.528902,2.630631,,,0,
BET1ROU2,,"Rousseau",,50.524895,2.633710,,,0,
BET1SACO,,"Sacré Coeur",,50.522489,2.626751,,,0,
BET1SAD1,,"Béthune Allobus",,50.529733,2.640213,,,0,
BET1SENE,,"Sénéchal",,50.529419,2.647850,,,0,
BET1STCH,,"Saint-Christophe",,50.514508,2.641119,,,0,
